PLZ,Name ,Landkreis,Bundesland
4178,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4177,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4159,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4158,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4157,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4155,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4129,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4109,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4107,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4105,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4103,Leipzig,Kreisfreie Stadt Leipzig,Sachsen
4703,Leisnig,Landkreis Mittelsachsen,Sachsen
54340,Leiwen u.a.,Landkreis Trier-Saarburg,Rheinland-Pfalz
66969,Lemberg,Landkreis Südwestpfalz,Rheinland-Pfalz
49459,"Lembruch, Burlage",Landkreis Diepholz,Niedersachsen
